Year,Money_In_Circ,Money_Printed_billions,Prct_Chnge_Printed,CPI,Purch_Power
1996,425.74308333333335,17.82475000000005,4.369685925695932,156.84999999999997,36.841467575221905
1995,407.9183333333333,28.789666666666562,7.593640153826375,152.38333333333335,37.35633357984238
1994,379.12866666666673,35.565499999999986,10.351953716419926,148.22500000000002,39.096225907475564
1993,343.56316666666675,30.897000000000048,9.88178552524339,144.45833333333331,42.047095657809635
1992,312.6661666666667,20.84741666666673,7.143960649090131,140.3166666666667,44.87747048636005
1991,291.81874999999997,24.95116666666661,9.349643128255526,136.19166666666666,46.66995066857996
1990,266.86758333333336,19.491166666666743,7.879153125954841,130.65833333333333,48.95998671001317
1989,247.37641666666661,14.282749999999965,6.127472360896391,123.96666666666665,50.11256462401934
1988,233.09366666666665,18.47675000000001,8.609176893868664,118.25833333333333,50.734254183940365
1987,214.61691666666664,15.82916666666668,7.962848146662305,113.625,52.9431704474989
1986,198.78774999999996,13.373166666666634,7.212575422195733,109.60833333333335,55.13837413690399
1985,185.41458333333333,11.433999999999997,6.571997737295399,107.56666666666665,58.01413499028079
1984,173.98058333333333,13.321500000000015,8.291781406695042,103.88333333333333,59.709728144951036
1983,160.6590833333333,13.2113333333333,8.960010127881436,99.60000000000001,61.99462733977591
1982,147.44775,9.977833333333365,7.258194065489509,96.5,65.44691255037802
1981,137.46991666666665,9.927249999999972,7.783473765641813,90.925,66.14174373908473
1980,127.54266666666668,10.90066666666668,9.34540445694234,82.40833333333332,64.61236501249253
1979,116.642,10.502999999999986,9.895514372662252,72.575,62.22029800586411
1978,106.13900000000001,9.668416666666701,10.022139736897383,65.23333333333333,61.46028635405772
1977,96.47058333333331,8.102499999999978,9.169034445883062,60.60833333333333,62.825714574477374
1976,88.36808333333333,7.606333333333325,9.418237387542149,56.90833333333334,64.39919390202157
1975,80.76175,6.791666666666671,9.181639874679082,53.81666666666667,66.63633052362866
1974,73.97008333333333,6.364000000000004,9.413354074399138,49.30833333333334,66.65983207174973
1973,67.60608333333333,5.430249999999994,8.733698784361543,44.400000000000006,65.67456330976134
1972,62.17583333333334,4.104000000000006,7.0671094133415435,41.81666666666667,67.25549851898514
1971,58.07183333333333,3.8987499999999997,7.1968397589823985,40.49166666666667,69.72686127238966
1970,54.17308333333333,3.2936666666666525,6.473475685157526,38.824999999999996,71.66843312407607
1969,50.87941666666668,3.150333333333343,6.600448014749927,36.68333333333334,72.09857293306231
1968,47.729083333333335,2.9708333333333314,6.637510030739202,34.78333333333334,72.87660039563579
1967,44.758250000000004,2.2510833333333267,5.29577365385443,33.35833333333334,74.53002146717832
1966,42.50716666666668,2.623166666666684,6.576989937485411,32.45833333333333,76.35967268264564
1965,39.88399999999999,2.1773333333333227,5.774398868458253,31.50833333333333,78.9999331394377
1964,37.70666666666667,2.210166666666666,6.226435470163727,31.016666666666666,82.2577793493635
1963,35.496500000000005,1.7290833333333353,5.120567410891663,30.625,86.27611172932541
1962,33.76741666666667,1.2646666666666704,3.8909528168129537,30.249999999999996,89.58340017126962
1961,32.50275,0.4472500000000039,1.3952363868914963,29.89166666666667,91.96657718705853
1960,32.055499999999995,0.2634166666666573,0.8285605693240994,29.575000000000003,92.26185833944255
1959,31.792083333333338,0.6159166666666671,1.9756010200099539,29.14999999999999,91.68949292931937
1958,31.17616666666667,0.1734166666666752,0.5593589815957367,28.85833333333333,92.56536777559779
1957,31.002749999999995,0.3164999999999978,1.0314065746058754,28.091666666666665,90.6102415645924
1956,30.686249999999998,0.4376666666666651,1.446899717066641,27.183333333333337,88.58473529132213
1955,30.248583333333332,0.2204166666666687,0.7340330467505485,26.775000000000002,88.51654209701282
1954,30.028166666666664,-0.10541666666667027,-0.34983116843610995,26.849999999999998,89.41604826579488
1953,30.133583333333334,1.0710000000000015,3.6851507235821535,26.766666666666666,88.82669668116691
1952,29.062583333333333,1.3265833333333283,4.782893471781535,26.549999999999997,91.35457676107022
1951,27.736000000000004,0.5626666666666722,2.070657507360174,25.958333333333332,93.5907605037977
1950,27.173333333333332,-0.3451666666666604,-1.2543077081478282,24.066666666666666,88.56722276741904
1949,27.518499999999992,-0.5451666666666739,-1.9426066919267182,23.808333333333334,86.51755485703559
1948,28.063666666666666,-0.35658333333334014,-1.254680494834981,24.041666666666668,85.66830183748857
1947,28.420250000000006,0.13033333333333985,0.4607059641391853,22.325,78.55314432490916
1946,28.289916666666667,1.4430833333333304,5.375245994251321,19.51666666666667,68.98806700856314
1945,26.846833333333336,4.296250000000004,19.051613594622484,17.991666666666664,67.01597333018789
1944,22.550583333333332,4.943916666666663,28.079799318439957,17.591666666666665,78.00980758073516
1943,17.60666666666667,4.927416666666671,38.86205151461382,17.308333333333337,98.30556607345703
1942,12.679249999999998,3.0912499999999987,32.24082186065915,16.333333333333332,128.81939652056184
1941,9.588,1.7102499999999994,21.709879089841632,14.725000000000003,153.57738840216945
1940,7.87775,0.8216666666666672,11.644798223754925,14.008333333333333,177.82150148625348
1939,7.056083333333333,0.5509999999999984,8.470298868833325,13.908333333333331,197.11123971041536
1938,6.505083333333334,0.030666666666666842,0.4736591456115713,14.091666666666663,216.62545957648499
